"","Driver_ID","dr_city","dr_state","dr_contract","dr_commission","dr_paytype","dr_wkbase","dr_onduty","dr_status","tenure.in_days.","last_ride","rides_in_last_1_month","rides_in_last_3_month","rides_in_last_6_month","rides_in_last_1_year","average_total_payment_1_month.","average_total_payment_3_month.","average_total_payment_6_month.","average_total_payment_1_year.","sum_total_payment_1_month.","sum_total_payment_3_month.","sum_total_payment_6_month.","sum_total_payment_1_year.","average_standard_payment_1_month.","average_standard_payment_3_month.","average_standard_payment_6_month.","average_standard_payment_1_year.","sum_standard_payment_1_month.","sum_standard_payment_3_month.","sum_standard_payment_6_month.","sum_standard_payment_1_year.","average_non_standard_payment_1_month.","average_non_standard_payment_3_month.","average_non_standard_payment_6_month.","average_non_standard_payment_1_year.","sum_non_standard_payment_1_month.","sum_non_standard_payment_3_month.","sum_non_standard_payment_6_month.","sum_non_standard_payment_1_year.","average_jobs_1_month.","average_jobs_3_month.","average_jobs_6_month.","average_jobs_1_year.","total_jobs_1_month.","total_jobs_3_month.","total_jobs_6_month.","total_jobs_1_year.","average_satisfaction_1_month.","average_satisfaction_3_month.","average_satisfaction_6_month.","average_satisfaction_1_year.","Tenure.in_categories.","churn_status"
"87",58736,"WINONA","ON",1,0,"DAILY","0",1,"107",7,2017-07-14,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.33333333333333,0,0,0,20,0.5,0.5,0.5,0.333333333333333,"less than or equal to a month",TRUE
"88",58965,"WARREN","OH",1,100,"COMMISSION","Not Specified",0,"236",283,2018-03-10,0,4,7,72,0,639.28,603.482857142857,616.510694444444,0,2557.12,4224.38,44388.77,0,639.28,603.482857142857,548.644861111111,0,2557.12,4224.38,39502.43,0,0,0,67.8658333333333,0,0,0,4886.34,0,13.5,12.2857142857143,12.6666666666667,0,54,86,912,0.5,0.5,0.5,0.5,"more than 6 month",FALSE
"89",58974,"UNION CITY","CA",1,100,"COMMISSION","Not Specified",1,"107",1,2018-02-05,0,0,1,1,0,0,630.45,630.45,0,0,630.45,630.45,0,0,630.45,630.45,0,0,630.45,630.45,0,0,0,0,0,0,0,0,0,0,26,26,0,0,26,26,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"90",58980,"ONTARIO","CA",1,100,"COMMISSION","0",1,"107",247,2018-02-02,0,0,29,217,0,0,615.411724137931,603.373686635945,0,0,17846.94,130932.09,0,0,613.204827586207,602.97,0,0,17782.94,130844.49,0,0,2.20689655172414,0.4036866359447,0,0,64,87.6,0,0,9.17241379310345,9.41935483870968,0,0,266,2044,0.5,0.5,0.888888888888889,0.830508474576271,"more than 6 month",TRUE
"91",59056,"DALLAS","TX",1,100,"COMMISSION","Not Specified",0,"236",74,2018-04-30,0,15,20,20,0,1058.07066666667,1020.537,1020.537,0,15871.06,20410.74,20410.74,0,1058.07066666667,1020.537,1020.537,0,15871.06,20410.74,20410.74,0,0,0,0,0,0,0,0,0,16.4,15.85,15.85,0,246,317,317,0.5,0.5,0.5,0.5,"less than or equal to 3 month",FALSE
"92",59057,"DALLAS","TX",1,100,"COMMISSION","Not Specified",0,"236",64,2018-04-25,0,29,33,33,0,993.401379310345,990.324848484849,990.324848484849,0,28808.64,32680.72,32680.72,0,993.401379310345,990.324848484849,990.324848484849,0,28808.64,32680.72,32680.72,0,0,0,0,0,0,0,0,0,15.448275862069,15.3636363636364,15.3636363636364,0,448,507,507,0.5,0.5,0.5,0.5,"less than or equal to 3 month",FALSE
"93",59159,"BROOKLYN","NY",1,100,"COMMISSION","Not Specified",1,"107",185,2017-12-17,0,0,0,3,0,0,0,686.04,0,0,0,2058.12,0,0,0,686.04,0,0,0,2058.12,0,0,0,0,0,0,0,0,0,0,0,9.33333333333333,0,0,0,28,0.5,0.5,0.5,1,"more than 6 month",TRUE
"94",59210,"AMITYVILLE","NY",1,100,"COMMISSION","Not Specified",1,"107",139,2018-02-01,0,0,11,76,0,0,526.922727272727,744.710131578947,0,0,5796.15,56597.97,0,0,526.922727272727,743.763289473684,0,0,5796.15,56526.01,0,0,0,0.946842105263158,0,0,0,71.96,0,0,5.72727272727273,8.97368421052632,0,0,63,682,0.5,0.5,0.5,0.5,"less than or equal to 6 month",TRUE
"95",59245,"WOBURN","MA",1,100,"COMMISSION","Not Specified",1,"107",1,2017-09-29,0,0,0,1,0,0,0,1040,0,0,0,1040,0,0,0,1040,0,0,0,1040,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,10,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
"96",59246,"WOBURN","MA",1,100,"COMMISSION","Not Specified",1,"107",1,2017-09-29,0,0,0,1,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,520,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,7,0.5,0.5,0.5,0.5,"less than or equal to a month",TRUE
